"name","post_modified","post_date","byline","alt_text","description","place_name"
"3800612MF9628.jpg","03/18/2015","03/18/2015","Mitchell Franz","Greystone Golf Club in Dickson, TN","Greystone Golf Club is an 18-hole public golf course designed by PGA Tour pro Mark McCumber that has featured tournaments such as PGA Tour first round qualifiers, Tennessee State Opens and USJGT Tour Championship. The course's par is 72 and features a rolling hill landscape complete with water hazards and sand bunkers.","Dickson"
"6540512JSO0402.jpg","07/30/2017","03/18/2015","Jeffrey S. Otto","Travelers make their way through the Nashville international Airport or BNA.","Travelers make their way through the Nashville international Airport or BNA.",
"3800612MF7540.jpg","03/18/2015","03/18/2015","Mitchell Franz","Frank G. Clement Golf Course","Youth golfers participate in a junior PGA tournament at the Frank G. Clement Golf Course in Montgomery Bell State Park.","Dickson"
"6540115JSO1163.jpg","07/30/2017","03/18/2015","Jeffrey S. Otto","Students at the Nashville State Community College's Surgical Tech program work in one of the classroom labs.","Students at the Nashville State Community College's Surgical Tech program work in one of the classroom labs.",
"14ersCoverPhoto.jpg","03/19/2015","03/19/2015",,"Hikers atop the summit of Colorado's Mt. Evans (14,264)","Two hikers on the summit of Mt. Evans (14,264) in Colorado.","Colorado"
"151SUBMAD013-crop.jpg","06/21/2017","03/20/2015","Photo courtesy of B Cycle for Greater Madison Convention & Visitors Bureau","Two women bike and shop the Dane County Farmer’s Market in Madison, Wisconsin.",,
"151FLICKRYON032.crop_.jpg","03/20/2015","03/20/2015","Photo courtesy of Dennis, available under a Creative Commons license","Street corner in Yonkers, NY",,"Yonkers"
"151SUBHON021.crop_.jpg","03/20/2015","03/20/2015","Photo courtesy of Hawaii Tourism Authority","Couple takes a photo at the top of Makapuu in Honolulu, Hawaii.",,"Honolulu"
"151FLICKRMIA030.crop_.jpg","03/20/2015","03/20/2015","Photo courtesy of Pablo Fernández, available under a Creative Commons license","Visitors and residents enjoy the beaches of Miami, Florida.",,"Miami"
"151SUBMAD011.crop_.jpg","03/20/2015","03/20/2015","Courtesy of Clint Thayer","Runners jog through the streets of Madison, Wisconsin.",,"Madison"
"151SUBCAM034.crop_.jpg","03/20/2015","03/20/2015","David Fox","Sailboats wade in the water in Cambridge, Massachussetts.",,"Cambridge"
"151SUBMIN002.crop_.jpg","03/20/2015","03/20/2015","Courtesy of Meet Minneapolis","People play sand volleyball along Lake Calhoun in Minneapolis, Minnesota.",,"Minneapolis"
"4635384582_aa63290660_o.crop_.jpeg","03/20/2015","03/20/2015","courtesy of Paul L Dineen, available under a Creative Commons license","Three men bike in Fort Collins.",,"Fort Collins"
"151SUBARL008.JPG","03/20/2015","03/20/2015","Photo courtesy of Crystal City BID","Arlington, Virginia neighborhoods often host free community fitness activities, including yoga classes or 5Ks",,"Arlington"
"7064611561_768464b25c_o-final.jpg","03/20/2015","03/20/2015","Photo courtesy of Charlie Kellogg, available under a Creative Commons license","Visitors enjoy the Fayerweather Island Light in Bridgeport, Connecticut.",,"Bridgeport"
"santaanafly.jpg","03/20/2015","03/20/2015","Courtesy of Greg Bishop via Flickr","Looking out the cockpit, an aerial view of Santa Ana, CA.",,"Santa Ana"
"Alexandria_va_city.jpg","06/15/2017","03/22/2015","Photo by Flickr user sikeri","City of Alexandria, VA","Alexandria, VA offers plenty of things to do and is only a 15-minute Metro ride to Washington D.C.","Alexandria city"
"alexwaterfront.jpg","03/22/2015","03/22/2015","Photo by Flickr user Berat User","Alexandria, VA waterfront","Residents and visitors can enjoy waterfront views in Alexandria, Va.","Alexandria city"
