"name","post_modified","post_date","byline","alt_text","description","place_name"
"14959484654_9500ba7603_k.jpg","08/08/2016","08/08/2016","Courtesy of Nicholas A. Tonelli under a  CC 4.0  license.","Pennsylvania",,
"Bethlehem_PA_The_Bridge.jpeg","08/10/2016","08/10/2016","Michael Tedesco","Bethlehem, PA - The Bridge","The Bridge at dusk, a 70-foot-long steel and fire arc by Elena Colombo. Steel Stacks, Bethlehem Steel Factory.","Bethlehem"
"idaho_landscape.jpg","05/03/2017","08/14/2016","Courtesy of John Hinsberger under a CC 4.0 license","Affordable Idaho","Mountainous terrain of southeast Idaho, with the final touches of fall colors.","Idaho"
"affordable_alaska_new.jpg","08/14/2016","08/14/2016","www.traveljuneau.com","Affordable Alaska","Mountain hiking outside of Juneau, Alaska, provides incredible views",
"18925801090_6600231bf0_k.jpg","06/07/2017","08/14/2016","Courtesy of Rupa Panda under a  CC 4.0  license.","maryland",,"Maryland"
"williamsonco2016_17v30w.jpg","08/15/2016","08/15/2016",,"Williamson County Magazine",,"Franklin"
"5948817712_f9d584a6df_o.jpg","08/15/2016","08/15/2016","Courtesy of Flickr user CountyLemonade under a CC 2.0 license.",,,"Salt Lake City"
"Fairfax_County_Seal.jpg","05/05/2017","08/16/2016","courtesy of Machvee under a  CC 4.0  license.","Seal of Fairfax, Virginia",,
"luther_burbanks_cottage.jpg","08/16/2016","08/16/2016","by Frank Schulenburg. Licensed under the Creative Commons Attribution-Share Alike 3.0 Unported license.","Luther Burbank's Cottage",,"Sebastopol"
"Seattle Skyline.jpg","05/05/2017","08/17/2016","By Sajad Mohamad (Own work) [CC BY-SA 4.0",,"Majestic Mount Rainer provides the scenic backdrop for downtown Seattle.",
"PikesPeak.jpg","07/26/2017","08/17/2016","By Hogs555 (Own work) [CC BY-SA 3.0",,,
"irvine_main_image.jpg","05/05/2017","08/17/2016","courtesy of Aaron Gustafson under a  CC 4.0  license.","Irvine CA",,
"castle_rock_2.jpg","08/18/2016","08/18/2016","Jeff Adkins","Castle Rock CO",,"Castle Rock"
"chicago.jpg","08/18/2016","08/18/2016","Courtesy of Roman Boed under a  CC 4.0  license.","Chicago IL",,"Chicago"
"chicago_bean.jpg","08/18/2016","08/18/2016","Courtesy of Timothy Neesam under a  CC 4.0  license.","Chicago IL",,"Chicago"
"82802sub057.jpg","08/22/2016","08/22/2016","Courtesy of downtown Idaho Falls","Downtown Idaho Falls, ID","Downtown Idaho Falls, ID has several programs working toward the goal of attracting more residents to the district.","Idaho Falls"
"828busgraphic.jpg","06/19/2017","08/22/2016",,"Idaho Falls Redevelopment Agency (IFRA), Idaho Falls, ID","Idaho Falls Redevelopment Agency (IFRA)&nbsp;is a city-backed urban renewal group that invests in infrastructure needed to enhance areas and encourage development in Idaho Falls.",
"Idaho_Falls_ID_CAES campus.jpg","08/22/2016","08/22/2016","Courtesy of Idaho University at Idaho Falls","Idaho Falls, ID - CAES campus","Students and research at the CAES campus in Idaho Falls","Idaho Falls"
"istock_000011782297_large.jpg","06/19/2017","08/22/2016","istock.com/enter89","Idaho Falls, ID Agribusiness","Agribusiness, as measured by sales, is the largest industry in Greater Idaho Falls, not to mention Idaho as a whole.",
"best-cities-for-entrepeneurs_2.png","08/23/2016","08/23/2016",,"Best Cities for Entrepreneurs",,
"81302sub006.jpg","08/23/2016","08/23/2016","Courtesy of Four Daughters Vineyard & Winery","Rochester, MN - Four Daughters Vineyard & Winery",,"Rochester"
"8130216swfre102.jpg","07/28/2017","08/23/2016","Steve Wolt","Rochester, MN Housing",,
"8130715mdt5384.jpg","06/21/2017","08/23/2016","Staff Photo","Rochester MN Schools","Rochester Community and Technical College Chemistry lab",
"chicago_sunrise.jpg","08/23/2016","08/23/2016","Courtesy of Dave Wilson under a  CC 4.0  license.","Chicago IL",,"Chicago"
"castle_rock.jpg","02/27/2017","08/24/2016","Courtesy of Patricia Henschen under a  CC 4.0  license.","castle rock",,"Castle Rock"
"oregon top employers.jpg","06/01/2017","08/24/2016","Courtesy of Michael McCullough under a  CC 4.0  license.","oregon top employers",,"Oregon"
"hollywood.jpg","08/24/2016","08/24/2016","Courtesy of Shinya Suzuki under a  CC 4.0  license.","Los Angeles CA",,"Los Angeles"
"img_4974.jpg","08/25/2016","08/25/2016",,"Mikey Rosenbaum",,
"wyoming.jpg","08/25/2016","08/25/2016","Courtesy of Coulter Sunderland under a  CC 4.0  license.","Wyoming Affordable Cities",,"Wyoming"
"marina_bay_quincy_ma.jpg","08/25/2016","08/25/2016","Courtesy of BCD Photography under a  CC 2.0  license.","Marina Bay in Quincy, MA",,"Massachusetts"
"montana.jpg","08/25/2016","08/25/2016","Courtesy of Jeff Wallace under a  CC 4.0  license.","Montana",,"Montana"
"chattanooga_2.jpg","08/25/2016","08/25/2016","Courtesy of John Getchel under a  CC 4.0  license.","Chattanooga TN",,"Chattanooga"
"virginia employers.jpg","06/30/2017","08/25/2016","Courtesy of Zach Frailey under a  CC 4.0  license.","virginia employers",,"Virginia"
"los_angeles_2.jpg","08/25/2016","08/25/2016","Courtesy of Chris Goldberg under a  CC 4.0  license.","Los Angeles CA",,"Los Angeles"
"nyc.jpg","08/25/2016","08/25/2016","Courtesy of Josh Liba under a  CC 4.0  license.","New York City",,"New York"
"seattle.jpg","08/26/2016","08/26/2016","Courtesy of Dave Wilson under a  CC 4.0  license.","Seattle WA",,"Seattle"
"stl.jpg","08/26/2016","08/26/2016","Courtesy of George Thomas under a  CC 4.0  license.","St. Louis MO",,"St. Louis"
"boulder_co.jpg","08/29/2016","08/29/2016","Courtesy of Rex Brown under a  CC 2.0  license.","Boulder, CO",,"Boulder"
"dallas.jpg","08/29/2016","08/29/2016","Courtesy of Daxis under a  CC 4.0  license.","Dallas TX",,"Dallas"
"reasons_to_move-beaches.jpg","08/29/2016","08/29/2016","Courtesy of Sho Misawa under a  CC 4.0  license.","Houston TX",,"Houston"
"boston.jpg","08/29/2016","08/29/2016","Courtesy of walknboston under a  CC 4.0  license.","Boston MA",,"Boston"
"georgia top employers.jpg","03/30/2017","08/30/2016","Courtesy of Brett Weinstein under a  CC 4.0  license.","georgia top employers",,"Georgia"
