"name","post_modified","post_date","byline","alt_text","description","place_name",
"Iowa-City-Wingman.jpg","07/10/2018","07/10/2018","Think Iowa City","Iowa City",,,
"ChattanoogaEDG18v3W_B.jpg","07/10/2018","07/10/2018",,,,,
"ChattanoogaEDG18v3W_B.jpg","07/10/2018","07/10/2018",,,,,
"FargoND-DowntownNighttime.jpg","07/10/2018","07/10/2018","iStockPhoto/DenisTangneyJr","Fargo ND",,"Fargo",
"FargoND-OldRailwayWaterTower.jpg","07/10/2018","07/10/2018","iStock Photo/csfotoimages","Fargo ND",,"Fargo",
"FargoND-CoScheduleEntry.jpg","07/11/2018","07/11/2018","Photo Courtesy of Haley Frost Creative","Fargo ND",,"Fargo",
"FargoND-CoScheduleMural.jpg","07/11/2018","07/11/2018","Photo Courtesy of Haley Frost Creative","Fargo ND",,"Fargo",
"FargoND-CoScheduleOrangeFinal.jpg","07/11/2018","07/11/2018","Photo Courtesy of Haley Frost Creative","Fargo ND",,"Fargo",
"ChattanoogaEDG18v3W.jpg","07/11/2018","07/11/2018",,"Chattanooga, TN Digital Magazine",,"Chattanooga",
"ChattanoogaEDG18v3_W.jpg","07/11/2018","07/11/2018",,,,,
"ChattanoogaEDG18v3W.jpg","07/11/2018","07/11/2018",,"Chattanooga, TN Digital Magazine",,"Chattanooga",
"TulsaOK-DowntownLights.jpg","07/12/2018","07/12/2018","iStock Photo/digidreamgrafix","Tulsa OK",,"Tulsa",
"TulsaOK-PrairieBrewpub.jpg","07/12/2018","07/12/2018","Facebook/PrairieBrewpub","Tulsa OK",,"Tulsa",
"TulsaOK-MayoHotel.jpg","07/12/2018","07/12/2018","Facebook/MayoHotel","Tulsa OK",,"Tulsa",
"TulsaOK-ArtDecoMuseum.jpg","07/12/2018","07/12/2018","Facebook/TulsaArtDecoMuseum","Tulsa OK",,"Tulsa",
"TulsaOK-PhilbrookMuseumofArt.jpg","07/12/2018","07/12/2018","Facebook/PhilbrookMuseumOfArt","Tulsa OK",,"Tulsa",
"TulsaOK-DowntownTulsa.jpg","07/12/2018","07/12/2018","Facebook/DowntownTulsa","Tulsa OK",,"Tulsa",
"TulsaOK-TurkeyMtn.Urban_.jpg","07/12/2018","07/12/2018","Facebook/TurkeyMountainUrbanWildernessArea","Tulsa OK",,"Tulsa",
"AvalonCA-GettingAroundCatalina.jpg","07/12/2018","07/12/2018","iStockPhoto/WilliamSherman","Avalon CA",,"Avalon",
"AvalonCA-HousesonWater.jpg","07/12/2018","07/12/2018","iStock Photo/raphoto","Avalon CA",,"Avalon",
"AvalonCA-HotelMetropole.jpg","07/12/2018","07/12/2018","iStock Photo/pastorscott","Avalon CA",,"Avalon",
"AvalonCA-Kayaks.jpg","07/12/2018","07/12/2018","iStock Photo/DOUGBERRY","Avalon CA",,"Avalon",
"AvalonCA-AerialShotAtNight.jpg","07/12/2018","07/12/2018","iStockPhoto/eeilers","Avalon CA",,"Avalon",
"AvalonCA-OutdoorPatio.jpg","07/12/2018","07/12/2018","iStockPhoto/pastorscott","Avalon CA",,"Avalon",
"talentdev_newsletter.png","07/12/2018","07/12/2018",,,,,
"WestHartfordCT-CityHall.jpg","07/12/2018","07/12/2018","iStockPhoto/Michael King","West Hartford CT",,"West Hartford",
"LudingtonMI-DowntownSunset.jpg","07/13/2018","07/13/2018","Photo Courtesy of Ludington Area CVB","Ludington MI",,"Ludington",
"NewHavenCT-HousesOnWater.jpg","07/13/2018","07/13/2018","iStock Photo/DenisTangneyJr","New Haven CT",,"New Haven",
"NewHavenCT-WoosterSquareTreesInBloom.jpg","07/13/2018","07/13/2018","iStock Photo/f11photo","New Haven CT",,"New Haven",
"BaltimoreMD-SkylineAtDusk.jpg","07/13/2018","07/13/2018","iStockPhoto/Sean Pavone","Baltimore MD",,"Baltimore",
"BaltimoreMD-ShopsAtFellsPoint.jpg","07/13/2018","07/13/2018","iStockPhoto/Sean Pavone","Baltimore MD",,"Baltimore",
"HamiltonOH-ButlerCoCourthouse.jpg","07/13/2018","07/13/2018","Courtesy of OZinOH under a  CC 2.0  license.","Hamilton OH",,"Hamilton",
"BurlingtonVT-ChurchStreetAtNight.jpg","07/13/2018","07/13/2018","iStockPhoto/DenisTangneyJr","Burlington VT",,"Burlington",
"HarmonyMN-School.jpg","07/13/2018","07/13/2018","Facebook/ExploreHarmonyMinnesota","Harmony MN",,"Harmony",
"IowaField.jpg","07/13/2018","07/13/2018","iStockPhoto/Maksymowicz","Iowa",,"Iowa",
"PorchStock.jpg","07/13/2018","07/13/2018","iStockPhoto/jimkruger","Stock",,,
"Pocono18v4W.jpg","07/13/2018","07/13/2018",,,,,
"Adriana-Cruz---Prefered-Headshot.jpg","07/13/2018","07/13/2018",,,,,
"SanMarcosTX-HaysCoCourthouse.jpg","07/13/2018","07/13/2018","iStockPhoto/DenisTangneyJr","San Marcos TX",,"San Marcos",
"SanMarcosTX-PlumCreekCommunity.jpg","07/13/2018","07/13/2018","Facebook/PlumCreekTX","San Marcos TX",,"San Marcos",
"SanMarcosTX-TheLeaningPear.jpg","07/13/2018","07/13/2018","Facebook/TheLeaningPear","San Marcos TX",,"San Marcos",
"CharlotteEDG18v8W.jpg","07/13/2018","07/13/2018",,,,,
"ITTX18v13W.jpg","07/16/2018","07/16/2018",,,,,
"PittsburghPA-MattressFactory.jpg","07/16/2018","07/16/2018","Facebook/MattressFactory-MuseumOfContemporaryArt","Pittsburgh PA",,"Pittsburgh",
"JupiterFL-InletLighthouse.jpg","07/16/2018","07/16/2018","iStockPhoto/Sean Pavone","Jupiter FL",,"Jupiter",
"PalmBeachFL-WorthAVE.jpg","07/16/2018","07/16/2018","iStockPhoto/Sean Pavone","Palm Beach FL",,"Palm Beach",
"KeyWestFL-SouthernMostPointSign.jpg","07/16/2018","07/16/2018","iStockPhoto/cristianl","Key West FL",,"Key West",
"ClevelandOH-CuyahogaValleyNationalPark.jpg","07/16/2018","07/16/2018","iStockPhoto/Jason Kostansek","Cleveland OH",,"Cleveland",
"AkronOH-DowntownAtDusk.jpg","07/16/2018","07/16/2018","iStockPhoto/benkrut","Akron OH",,"Akron",
"AkronOH-ChurchOnWater.jpg","07/16/2018","07/16/2018","iStockPhoto/zrfphoto","Akron OH",,"Akron",
"AkronOH-AkronCivicTheatre.jpg","07/16/2018","07/16/2018","Facebook/AkronCivicTheatre","Akron OH",,"Akron",
"AkronOH-HywetHallSign.jpg","07/16/2018","07/16/2018","Facebook/StanHywetHall&Gardens","Akron OH",,"Akron",
"34317SUB003.jpg","07/16/2018","07/16/2018","Courtesy of Chesapeake Regional","Elizabeth City, NC","Chesapeake Regional in Elizabeth City, NC.","Elizabeth City",
"34317SUB013.jpg","07/16/2018","07/16/2018","Courtesy of College of the Albemarle","Elizabeth City, NC","College of the Albemarle's Small Business Center in Elizabeth City, NC.","Elizabeth City",
"34317SUB015.jpg","07/16/2018","07/16/2018","Courtesy of College of the Albemarle","Elizabeth City, NC","College of the Albemarle in&nbsp;Elizabeth City, NC, student government signing.","Elizabeth City",
"34317SUB057.jpg","07/16/2018","07/16/2018","Courtesy of Christina Rehklau","Elizabeth City, NC","Moth Boat Regatta, putting the boat in the water in Elizabeth City, NC.","Elizabeth City",
"343517THFRE002.jpg","07/16/2018","07/16/2018","Troy Herring","Elizabeth City, NC","A local artist enjoys some plein air painting on the dock at Waterfront Park in downtown Elizabeth City, NC.","Elizabeth City",
"3434180DEFRE003.jpg","07/16/2018","07/16/2018","Dhanraj Emanuel","Elizabeth City, NC","TCOM offers the world's largest selection of proven aerostat solutions that counter the tactical, operational and strategic threats faced by our customer-nations. End-to-end systems engineered for any environment.","Elizabeth City",
"32022SUB002.jpg","07/16/2018","07/16/2018","Courtesy of City of Columbia Parks and Recreation","Maury County, TN","First Tennessee Muletown Bluegrass BBQ at Riverwalk Park in Columbia, TN.","Columbia",
"32022SUB006.jpg","07/16/2018","07/16/2018","Courtesy of City of Columbia Parks and Recreation","Maury County, TN","Disc Golf Course in the City of Columbia Parks and Recreation, Columbia, TN.","Columbia",
"32022SUB045.jpg","07/16/2018","07/16/2018","Courtesy of Columbia State Community College","Maury County, TN","Engineering Systems Technology program (formerly named&nbsp;Advanced Integrated Industrial Technology program, and is sometimes referred to as mechatronics) at&nbsp;Columbia State Community College in Columbia, TN.","Columbia",
"32022SUB077.jpg","07/16/2018","07/16/2018","Courtesy of Landmark Ceramics","Maury County, TN","Landmark Ceramics in&nbsp;Mt. Pleasant, TN.","Columbia",
