"name","post_modified","post_date","byline","alt_text","description","place_name",
"DSC_0001_edit.jpg","01/15/2019","01/15/2019",,,,,
"DSC_0001_edit.jpg","01/15/2019","01/15/2019",,,,,
"DSC_0001_edit.jpg","01/15/2019","01/15/2019",,,,,
"31616SUB089.jpg","01/15/2019","01/15/2019","Photo courtesy of Union University",,,,
"Angie_01-SS.jpg","01/15/2019","01/15/2019","Courtesy of McFarland Clinic","Angie was diagnosed and treated for colon cancer at McFarland Clinic",,,
"Liv_Mill_hor_800.png","01/15/2019","01/15/2019",,,,,
"Liv_Mill_hor_800.png","01/15/2019","01/15/2019",,,,,
"TupeloMS-CookingAsAFirstLanguage1.jpg","01/15/2019","01/15/2019","Photo Courtesy of Cooking as a First Language","Tupelo MS",,"Tupelo",
"TupeloMS-CookingAsAFirstLanguage2.jpg","01/15/2019","01/15/2019","Photo Courtesy of Cooking as a First Language","Tupelo MS",,"Tupelo",
"TupeloMS-JapaneseFood1.jpg","01/15/2019","01/15/2019","Photo Courtesy of Cooking as a First Language","Tupelo MS",,"Tupelo",
"TupeloMS-JapaneseFood2.jpg","01/15/2019","01/15/2019","Photo Courtesy of Cooking as a First Language","Tupelo MS",,"Tupelo",
"Jeremiah thumbnail-no logo-SS.jpg","01/15/2019","01/15/2019","Courtesy of McFarland Clinic","McFarland Clinic helped Jeremiah improve his health.",,,
"Mtown_DayOfCaring_01-SS.jpg","01/15/2019","01/15/2019","Courtesy of McFarland Clinic","In 2018 the McFarland Clinic team mobilized to help in Marshalltown, IA after a tornado.",,,
"863v01McFarlandClinicSS_Cover.jpg","01/15/2019","01/15/2019",,"McFarland Clinic magazine for the Ames - Story County, IA area",,,
"TupeloMS-LyricTheater.jpg","01/16/2019","01/16/2019","Photo Courtesy of Tupelo Convention & Visitors Bureau","Tupelo MS",,"Tupelo",
"DetroitMI-PolkaDotHouseHeidelbergProject.jpg","01/16/2019","01/16/2019","Courtesy of Mike Boening Photography under a  CC 2.0  license.","Detroit MI",,"Detroit",
"DetroitMI-EasternMarketDistrictArt.jpg","01/16/2019","01/16/2019","iStock/Peeter Viisimaa","Detroit MI",,"Detroit",
"DetroitMI-MBADAfricanBeadMuseum.jpg","01/16/2019","01/16/2019","Courtesy of soupstance under a  CC 2.0  license.","Detroit MI",,"Detroit",
"DetroitMI-HeidelbergProjectMailbox.jpg","01/16/2019","01/16/2019","Courtesy of ","Santosdo under a  CC 2.0  license.","Detroit MI",,"Detroit"
"DetroitMI-Rivera'sFresco.jpg","01/17/2019","01/16/2019","Courtesy of Onasill ~ Bill Badzo under a  CC 2.0  license.","Detroit MI",,"Detroit",
"MOCA.jpg","01/17/2019","01/17/2019","MOCAD",,,,
"DetroitMI-CandyBar.jpg","01/17/2019","01/17/2019","Photo Courtesy of Candy Bar","Detroit MI",,"Detroit",
"DetroitMISkyline.jpg","01/17/2019","01/17/2019","Photo Courtesy of Vito Palmisano/Detroit CVB","Detroit MI",,"Detroit",
"3161802SUB065.jpg","01/17/2019","01/17/2019",,,,,
"LincolnNE-StateCapital.jpg","01/17/2019","01/17/2019","iStock/traveler1116","Lincoln NE",,"Lincoln",
"WichitaKS-DowntownSkyline.jpg","01/17/2019","01/17/2019","iStock/Sean Pavone","Wichita KS",,"Wichita",
"VictoriaTX-Courthouse.jpg","01/18/2019","01/18/2019","Courtesy of Nicolas Henderson under a  CC 2.0  license.","Victoria TX",,"Victoria",
"KnoxvilleTN-Downtown.jpg","01/18/2019","01/18/2019","iStock/Sean Pavone","Knoxville TN",,"Knoxville",
"KnoxvilleTN-GayStreet.jpg","01/18/2019","01/18/2019","iStock/Joel Carillet","Knoxville TN",,"Knoxville",
"DesMoinesIA-Aerial.jpg","01/18/2019","01/18/2019","iStock/Davel5957","Des Moines IA",,"Des Moines",
"TulsaOK-SkylineWaterfront.jpg","01/18/2019","01/18/2019","iStock/Davel5957","Tulsa OK",,"Tulsa",
"AuroraCO-TheStanley.jpg","01/27/2019","01/18/2019","From the Hip Photo","Aurora CO",,"Aurora",
"AuroraCO-CherryCreek.jpg","01/18/2019","01/18/2019","Photo Courtesy of Sarah Kuta","Aurora CO",,"Aurora",
"AuroraCO-DENGRExterior.jpg","01/28/2019","01/18/2019","Photo Courtesy of Gaylord Rockies Resort and Convention Center","Aurora CO",,"Aurora",
"Recession Proof Cities.jpg","01/22/2019","01/22/2019","iStockPhoto.com/JoeChristensen","Recession Proof Cities",,,
"TampaFL-WaterfrontSkyline.jpg","01/22/2019","01/22/2019","iStock/SeanPavonePhoto","Tampa FL",,"Tampa",
"TampaFL-YborCity.jpg","08/05/2020","01/22/2019","iStock/Pgiam","Tampa FL",,"Tampa",
"SarasotaFL-Waterfronthomes.jpg","01/23/2019","01/23/2019","iStock/Alexander Farnsworth","Sarasota FL",,"Sarasota",
"ProvidenceRI-Downtown.jpg","01/23/2019","01/23/2019","iStock/DenisTangneyJr","Providence RI",,"Providence",
"Oregon-WillametteValleyVineyard.jpg","01/23/2019","01/23/2019","iStock/DC_Colombia","Oregon",,"Oregon",
"VailCO-VailVillageSummertime.jpg","01/23/2019","01/23/2019","iStock/bauhaus1000","Vail CO",,"Vail",
"NorthCarolina-BogueInletPier.jpg","01/23/2019","01/23/2019","iStock/Kenneth_Keifer","North Carolina",,"North Carolina",
"NewYork-SenecaFallsShops.jpg","01/23/2019","01/23/2019","iStock/benedek","Seneca Falls NY",,"Seneca Falls",
"ProvidenceRI-DePasqualleSquare.jpg","01/23/2019","01/23/2019","N.Millard/GoProvidence.com","Providence RI",,"Providence",
"Stock-Honeymoon.jpg","01/30/2019","01/23/2019","iStockPhoto.com","Stock",,,
"LakeForestIL-DeerParkInnExterior.jpg","01/25/2019","01/25/2019","Photo Courtesy of Deer Path Inn","Lake Forest IL",,"Lake Forest",
"Xenia-Biking-Capital.jpg","01/30/2019","01/28/2019","City of Xenia",,,,
"Xenia-Station.jpg","01/30/2019","01/28/2019","City of Xenia",,,,
"Xenia-Downtown-Biking.jpg","01/30/2019","01/28/2019","City of Xenia",,,,
"SouthwestLouisiana19v4W.jpg","02/01/2019","02/01/2019",,,,,
"Cardinal Spirits Bloomington.jpg","02/04/2019","02/04/2019","Photo courtesy Visit Bloomington",,,"Bloomington",
"The-Tap-Bloomington-Beer-Bar.jpg","02/04/2019","02/04/2019","Photo courtesy Visit Bloomington",,,"Bloomington",
"Cardinal-Spirits-Bloomington-food-menu.jpg","05/28/2019","02/04/2019","Photo courtesy Visit Bloomington",,,"Bloomington",
"Cardinal-Spirits-Bartender-Bloomington.jpg","02/04/2019","02/04/2019",,"Photo courtesy Visit Bloomington",,"Bloomington",
"Bloomington-Downtown.jpg","02/04/2019","02/04/2019","Photo courtesy Visit Bloomington",,,"Bloomington",
"Downtown-Bloomington.jpg","02/04/2019","02/04/2019","Photo courtesy Visit Bloomington",,,"Bloomington",
"Sample-Gates-Indiana-University.jpg","02/04/2019","02/04/2019","Photo courtesy Visit Bloomington","Bloomington IN",,"Bloomingdale",
"SedonaAZ-DevilsBridgeTrail.jpg","02/04/2019","02/04/2019","iStock/Nikolas_jkd","Sedona AZ",,"Sedona",
"SedonaAZ-Meditation.jpg","02/04/2019","02/04/2019","iStock/DOUGBERRY","Sedona AZ",,"Sedona",
"JoshuaTreeCA.jpg","02/04/2019","02/04/2019","iStock/Schroptschop","Joshua Tree CA",,"Joshua Tree",
"AshevilleNC-BlueRidgeMtns.jpg","02/04/2019","02/04/2019","iStock/jaredkay","Asheville NC",,"Asheville",
"ManitouSpringsCO-GardenOfGod.jpg","02/04/2019","02/04/2019","iStock/pilgrims49","Manitou Springs CO",,"Manitou Springs",
"SantaFeNM-CanyonRoadHistoricDistrict.jpg","02/04/2019","02/04/2019","iStock/RiverNorthPhotography","Santa Fe NM",,"Santa Fe",
"DesMoinesIA-CapitolFlowers.jpg","02/04/2019","02/04/2019","iStock/DenisTangneyJr","Des Moines IA",,"Des Moines",
"RaleighNC-DowntownTwilight.jpg","02/04/2019","02/04/2019","iStock/Mlenny","Raleigh NC",,"Raleigh",
"PittsburghPA-OutdoorDining.jpg","02/06/2019","02/06/2019","Photo Courtesy of Adam Milliron/Visit Pittsburgh","Pittsburgh PA",,"Pittsburgh",
"PittsburghPA-PNCPark.jpg","02/06/2019","02/06/2019","Photo Courtesy of Ed Wood/Visit Pittsburgh","Pittsburgh PA",,"Pittsburgh",
"PittsburghPA-GatewayStation.jpg","02/06/2019","02/06/2019","Photo Courtesy of Roy Engelbrecht/Visit Pittsburgh","Pittsburgh PA",,"Pittsburgh",
"PittsburghPA-ShadysideNeighborhood.jpg","02/06/2019","02/06/2019","Photo Courtesy of Jim Judkis/Visit Pittsburgh","Pittsburgh PA",,"Pittsburgh",
"PittsburghPA-Kayak.jpg","02/06/2019","02/06/2019","Photo Courtesy of Kayak Pittsburgh / VisitPittsburgh","Pittsburgh PA",,"Pittsburgh",
"ColumbiaMO-UniversityOfMO.jpg","02/06/2019","02/06/2019","iStock/Sean Pavone","Columbia MO",,"Columbia",
"LincolnNE-CapitalAerialView.jpg","02/06/2019","02/06/2019","Photo Courtesy of Nebraska Tourism Commission","Lincoln NE",,"Lincoln",
"GreenvilleSC-Skyline.jpg","02/06/2019","02/06/2019","iStock/Kruck20","Greenville, SC",,"Greenville",
"FargoND-FargoTheaterSign.jpg","02/06/2019","02/06/2019","iStock/DenisTangneyJr","Fargo ND",,"Fargo",
"MinneapolisMN-DowntownBridge.jpg","02/06/2019","02/06/2019","iStock/AndreyKrav","Minneapolis MN",,"Minneapolis",
"SalemOR-OregonCapital.jpg","02/06/2019","02/06/2019","iStock/svetlana57","Salem OR",,"Salem",
"BatonRougeLA-LSUGame.jpg","02/06/2019","02/06/2019","Photo Courtesy of Visit Baton Rouge","Baton Rouge LA",,"Baton Rouge",
"AshevilleNC-OutdoorDining.jpg","02/06/2019","02/06/2019","iStock/J. Michael Jones","Asheville NC",,"Asheville",
"ManhattanKS-DowntownAerial.jpg","02/06/2019","02/06/2019","Photo Courtesy of  Manhattan Convention and Visitors Bureau","Manhattan KS",,"Manhattan",
"OrlandoFL-NighttimeCity.jpg","02/06/2019","02/06/2019","iStock/dszc","Orlando FL",,"Orlando",
"TempeAZ-DowntownOverWater.jpg","02/06/2019","02/06/2019","JeffreyRasmussen","Tempe AZ",,"Tempe",
"OmahaNE-SkylineFountain.jpg","02/06/2019","02/06/2019","iStock/Davel5957","Omaha NE",,"Omaha",
"LaramieWY-Storefronts.jpg","02/06/2019","02/06/2019","iStock/RiverNorthPhotography","Laramie WY",,"Laramie",
"DurhamNC-DowntownDistrict.jpg","02/06/2019","02/06/2019","iStock/SeanPavonePhoto","Durham NC",,"Durham",
"BillingsMT-Skyline.jpg","02/06/2019","02/06/2019","iStock/peeterv","Billings MT",,"Billings",
"LawrenceKS-HallMuseumOfNaturalHistory.jpg","02/06/2019","02/06/2019","iStock/BergmannD","Lawrence KS",,"Lawrence",
"HelenaMT-CapitalBuilding.jpg","02/06/2019","02/06/2019","iStock/pabradyphoto","Helena MT",,"Helena",
"AlbanyNY-DowntownDistrict.jpg","02/06/2019","02/06/2019","iStock/Sean Pavone","Albany, NY",,"Albany",
"MesaAZ-MesaArtsCenter.jpg","02/06/2019","02/06/2019","Photo Courtesy of Visit Mesa","Mesa AZ",,"Mesa",
"DuluthMN-Downtown.jpg","02/06/2019","02/06/2019","iStock/Jacob Boomsma","Duluth MN",,"Duluth",
"LexingtonKY-Downtown.jpg","02/06/2019","02/06/2019","iStock/Kirkikis","Lexington KY",,"Lexington",
"AmazonHeadquarters.jpg","02/07/2019","02/07/2019","iStock/Andrei Stanescu","Sunnyvale CA",,"Sunnyvale",
"SiouxFalls-DowntownNighttime.jpg","02/07/2019","02/07/2019","Photo Courtesy of Sioux Falls Convention & Visitors Bureau","Sioux Falls SD",,"Sioux Falls",
"ClearwaterFL-Pier60.jpg","02/07/2019","02/07/2019","iStock/Morgan Somers","Clearwater FL",,"Clearwater",
"SanBernardinoCA-BigBearLake.jpg","02/07/2019","02/07/2019","iStock/Ron_Thomas","San Bernardino CA",,"San Bernardino",
"RichmondVA-Downtown.jpg","02/07/2019","02/07/2019","iStock/traveler1116","Richmond VA",,"Richmond",
"IdahoFallsID-Temple.jpg","02/07/2019","02/07/2019","iStock/Danamallard51","Idaho Falls ID",,"Idaho Falls",
"KansasCityMO-DowntownShot.jpg","02/07/2019","02/07/2019","iStock/Sean Pavone","Kansas City MO",,"Kansas City",
"CedarRapidsIA-Waterfront.jpg","03/06/2019","02/07/2019","iStock/DenisTangneyJr","Cedar Rapids IA",,"Cedar Rapids",
"GreensboroNC-DaytimeAerial.jpg","02/07/2019","02/07/2019","iStock/Kruck20","Greensboro NC",,"Greensboro",
"TallahasseeFL-Trolley.jpg","02/07/2019","02/07/2019","iStock/RiverNorthPhotography","Tallahassee FL",,"Tallahassee",
"NorfolkVA-CitySkylineWater.jpg","02/07/2019","02/07/2019","iStock/DenisTangneyJr","Norfolk VA",,"Norfolk",
"AppletonWI-DowntownStreet.jpg","02/07/2019","02/07/2019","iStock/DenisTangneyJr","Appleton WI",,"Appleton",
"OgdenUT-25thStreet.jpg","02/07/2019","02/07/2019","Photo Courtesy of Visit Ogden","Ogden UT",,"Ogden",
"MorgantownWV-WVUBuilding.jpg","02/07/2019","02/07/2019","iStock/LawrenceSawyer","Morgantown WV",,"Morgantown",
"BuffaloNY-Waterfront.jpg","02/07/2019","02/07/2019","iStock/benedek","Buffalo NY",,"Buffalo",
"FairbanksAK-NorthernLights.jpg","02/07/2019","02/07/2019","iStock/lorentrager","Fairbanks AK",,"Fairbanks",
"McKinneyTX-DowntownDaytime.jpg","02/08/2019","02/08/2019","Photo Courtesy of Chad Hatcher/McKinney Convention & Visitors Bureau (MCVB)","McKinney TX",,"McKinney",
"BuffaloNY-BuffaloMural.jpg","02/08/2019","02/08/2019","Photo Courtesy of Drew Brown/Visit Buffalo Niagara","Buffalo NY",,"Buffalo",
"MoscowID-MainStreet.jpg","02/08/2019","02/08/2019","Photo Courtesy of Moscow Chamber of Commerce","Moscow ID",,"Moscow",
"NewHavenCT-CityAerial.jpg","02/08/2019","02/08/2019","iStock/Kayzure Cox","New Haven CT",,"New Haven",
"NewHavenCT-Lighthouse.jpg","02/08/2019","02/08/2019","iStock/enfi","New Haven CT",,"New Haven",
"WarwickRI-Waterfront.jpg","02/08/2019","02/08/2019","iStock/DenisTangneyJr","Warwick RI",,"Warwick",
"WestPalmBeachFL-NighttimeAerial.jpg","02/08/2019","02/08/2019","iStock/SeanPavonePhoto","West Palm Beach FL",,"West Palm Beach",
"NewOrleansLA-BourbonStreetNight.jpg","02/08/2019","02/08/2019","iStock/Kruck20","New Orleans LA",,"New Orleans",
"WilmingtonDE-QueenTheater.jpg","02/08/2019","02/08/2019","Photo Courtesy of Moonloop Photography LLC/Visit Wilmington","Wilmington DE",,"Wilmington",
"RoanokeVA-CityMarketBuilding.jpg","02/08/2019","02/08/2019","iStock/peeterv","Roanoke VA",,"Roanoke",
"FortWorthTX-Downtown.jpg","02/08/2019","02/08/2019","iStock/Arpad Benedek","Fort Worth TX",,"Fort Worth",
"OklahomaCityOK-Bricktown.jpg","02/08/2019","02/08/2019","iStock/DenisTangneyJr","Oklahoma City OK",,"Oklahoma City",
"ManchesterNH-Fall.jpg","02/08/2019","02/08/2019","iStock/DenisTangneyJr","Manchester NH",,"Manchester",
"GainesvilleFL-DowntownStreet.jpg","02/08/2019","02/08/2019","iStock/Sean Pavone","Gainesville FL",,"Gainesville",
"JacksonvilleFL-Waterfront.jpg","02/08/2019","02/08/2019","iStock/Sean Pavone","Jacksonville FL",,"Jacksonville",
"BangorME-Waterfront.jpg","02/08/2019","02/08/2019","iStock/DenisTangneyJr","Bangor ME",,"Bangor",
"TucsonAZ-DowntownAerial.jpg","02/08/2019","02/08/2019","iStock/Sean Pavone","Tucson AZ",,"Tucson",
"EauClaireWI-GroupClassAtLocalStore.jpg","02/08/2019","02/08/2019","Photo Courtesy of Visit Eau Claire","Eau Claire WI",,"Eau Claire",
"EauClaireWI-LismoreHotel.jpg","02/08/2019","02/08/2019","Photo Courtesy of Visit Eau Claire","Eau Claire WI",,"Eau Claire",
"EauClaireWI-Winter.jpg","02/08/2019","02/08/2019","Photo Courtesy of Visit Eau Claire","Eau Claire WI",,"Eau Claire",
"LexingtonKY-ShortStreetBRIGHT.jpg","02/08/2019","02/08/2019","iStock/Jacqueline Nix","Lexington KY",,"Lexington",
"RochesterMN-SunriseSkyline.jpg","02/08/2019","02/08/2019","AB-PHOTOGRAPHY.US","Rochester MN",,"Rochester",
"AuroraCO-PierAtPelcanBay.jpg","02/08/2019","02/08/2019","Photo Courtesy of Visit Aurora","Aurora CO",,"Aurora",
"GreatFallsMT-BikePath.jpg","02/08/2019","02/08/2019","Photo Courtesy of Great Falls Montana Tourism","Great Falls MT",,"Great Falls",
"GreatFallsMT-DogHike.jpg","02/08/2019","02/08/2019","Photo Courtesy of Great Falls Montana Tourism","Great Falls MT",,"Great Falls",
"GreatFallsMT-Fireworks.jpg","02/08/2019","02/08/2019","Photo Courtesy of Great Falls Montana Tourism","Great Falls MT",,"Great Falls",
"GreatFallsMT-FlyFishing.jpg","02/08/2019","02/08/2019","Photo Courtesy of Great Falls Montana Tourism","Great Falls MT",,"Great Falls",
"GreatFallsMT-Outdoors.jpg","02/08/2019","02/08/2019","Photo Courtesy of Great Falls Montana Tourism","Great Falls MT",,"Great Falls",
"GreatFallsMT-Waterfront.jpg","02/08/2019","02/08/2019","Photo Courtesy of Great Falls Montana Tourism","Great Falls MT",,"Great Falls",
"KansasCityMO-Downtown.jpg","02/08/2019","02/08/2019","Photo Courtesy of David Arbogast/Visit KC","Kansas City MO",,"Kansas City",
"Stock-ValentinesCookies.jpg","02/08/2019","02/08/2019","iStock/eli_asenova","Stock",,,
"raygun-iowa-postcard.jpg","02/11/2019","02/11/2019","Raygun","Why Everyone Is Moving Back to Iowa",,,
"PrincetonNJ-EastPyneHall.jpg","02/11/2019","02/11/2019","iStock/aimintang","Princeton NJ",,"Princeton",
"ThisMustBeThePlaceMural.jpg","02/11/2019","02/11/2019","Photo courtesy Liz Keehner",,,,
"BerkeleyCA-UCBerkeley.jpg","02/11/2019","02/11/2019","iStock/lucentius","Berkeley CA",,"Berkeley",
"StanfordCA-StanfordUnivAerial.jpg","02/11/2019","02/11/2019","iStock/SpVVK","Stanford CA",,"Stanford",
"CambridgeMA-Skyline.jpg","02/11/2019","02/11/2019","iStock/Sean Pavone","Cambridge MA",,"Cambridge",
"AtlantaGA-MidtownSunset.jpg","02/11/2019","02/11/2019","iStock/Sean Pavone","Atlanta GA",,"Atlanta",
"Headshot2.jpg","02/11/2019","02/11/2019",,,,,
"MariettaGA-MariettaSquareDaytime.jpg","02/11/2019","02/11/2019","Photo Courtesy of Marietta Visitors Bureau","Marietta GA",,"Marietta",
"NOVA2018v1W.jpg","02/11/2019","02/11/2019",,"Northern Virginia Digital Magazine",,"Tysons Corner",
"NOVAchamberLogoWtagline_4c_1210.png","02/11/2019","02/11/2019",,"Northern Virginia Chamber of Commerce",,"Tysons Corner",
"OxfordMS-CourthouseDaytime.jpg","02/11/2019","02/11/2019","Photo Courtesy of Visit Oxford","Oxford MS",,"Oxford",
"BismarckND-LewisClarkRiverboat.jpg","02/11/2019","02/11/2019","Photo Courtesy of Bismarck-Mandan Convention & Visitors Bureau","Bismarck ND",,"Bismarck",
"BismarckND-NDStateCapitol.jpg","02/11/2019","02/11/2019","Photo Courtesy of Bismarck-Mandan Convention & Visitors Bureau","Bismarck ND",,"Bismarck",
"NOVAchamberLogoWtagline_4c_1210.png","02/14/2019","02/11/2019",,"Northern Virginia Chamber",,"Tysons Corner",
"8581801SUB133.jpg","02/11/2019","02/11/2019","Freddie Mac","Northern Virginia Businesses",,"Tysons Corner",
"8581801SUB183.jpg","02/11/2019","02/11/2019","Northern Virginia Community College","Northern Virginia Talent Attraction",,"Tysons Corner",
"8581801SUB013.jpg","02/11/2019","02/11/2019","Visit Alexandria","Northern Virginia Neighborhoods",,"Tysons Corner",
"8581801SUB185.jpg","02/11/2019","02/11/2019","Northern Virginia Community College","Northern Virginia Cybersecurity",,"Tysons Corner",
"8581801SUB219.jpg","02/11/2019","02/11/2019","Evan Cantwell","Northern Virginia Life Sciences",,"Tysons Corner",
"3111018DKFRE002.jpg","02/11/2019","02/11/2019","Doug Kapustin","Northern Virginia Commuter Transit",,"Tysons Corner",
"8581801SUB074.jpg","02/11/2019","02/11/2019","Josh Brick Graphics/Arlington Economic Development","Northern Virginia Festivals",,"Tysons Corner",
"8581801SUB115.jpg","02/11/2019","02/11/2019","Farm Brew LIVE","Northern Virginia Craft Brewing",,"Tysons Corner",
"image001.jpg","02/12/2019","02/12/2019",,,,,
"stock-heartmap.jpg","02/14/2019","02/14/2019","iStock/PeskyMonkey","Stock",,,
"NOVAchamberLogoWtagline_4c_1210_2.png","02/14/2019","02/14/2019",,"Northern Virginia Chamber of Commerce & Northern Virginia Association of Realtors®",,,
"LancasterCA-MOAH.jpg","02/15/2019","02/15/2019","Photo Courtesy of Destination Lancaster","Lancaster CA",,"Lancaster",
"CollegeStationTX-KyleField.jpg","02/15/2019","02/15/2019","Photo Courtesy of Experience Bryan College Station","College Station TX",,"College Station",
"MiamiFL-WynwoodWalls.jpg","02/15/2019","02/15/2019","iStock/ampueroleonardo","Miami FL",,"Miami",
"MiamiFL-WynwoodWallsSign.jpg","02/15/2019","02/15/2019","iStock/Boogich","Miami FL",,"Miami",
"AustinTX-EllsworthKellyChapel.jpg","02/15/2019","02/15/2019","iStock/dlewis33","Austin TX",,"Austin",
"PittsburghPA-MattressFactory.jpg","02/15/2019","02/15/2019","Courtesy of daveynin under a  CC 2.0  license.","Pittsburgh PA",,"Pittsburgh",
"SantaFeNM-MeowWolf.jpg","02/15/2019","02/15/2019","Courtesy of Sharat Ganapati under a  CC 2.0  license.","Santa Fe NM",,"Santa Fe",
"GreensboroNC-Sunset.jpg","02/18/2019","02/18/2019","iStock/Davel5957","Greensboro NC",,"Greensboro",
"GreensboroNC-TrafficSkyline.jpg","02/18/2019","02/18/2019","iStock/SeanPavonePhoto","Greensboro NC",,"Greensboro",
"GreensboroNC-InternationalCivilRightsCenter.jpg","02/18/2019","02/18/2019","iStock/traveler1116","Greensboro NC",,"Greensboro",
