"name","post_modified","post_date","byline","alt_text","description","place_name"
"Franklin_TN_Trolley_Bus_Public_Transportation.jpg","08/10/2016","08/10/2016","Jeff Adkins","Franklin TN Transportation: Trolley Bus","A City of Franklin Trolley bus starts and ends its route at The Factory in Franklin, TN.","Franklin"
"Franklin_TN_Downtown_Building.jpg","08/10/2016","08/10/2016","Staff","Franklin TN Downtown Historic Building",,"Franklin"
"Franklin_TN_Police_Department.jpg","08/10/2016","08/10/2016","Jeffrey S. Otto","Franklin TN Police Department","The Franklin, TN police department is designed to be a LEED-certified structure.","Franklin"
"2050611AB8570_0.jpg","08/20/2014","08/20/2014","Antony Boshier","Taco Mamacita in Nashville, TN","Taco Royale, Carnitas, Chicken and Margaritas from Taco Mamacita. Taco Mamacita is a Mexican restaurant in Nashville's Edgehill area.",
"6540508JWA3003_0.jpg","08/20/2014","08/20/2014","Jeff Adkins","Nashville Public Library","The grand staircase in the Nashville Public Library.",
"6541010jso0722.jpg","08/13/2017","08/20/2014","Jeffery S. otto",,,"Nashville"
"20609GE0123_0.jpg","08/20/2014","08/20/2014","Greg Emens","Fisk Jubilee Singers",,
"7410508THB7331.jpg","08/20/2014","08/20/2014","Todd Bennett","Top 10 Awesome Water Cities","Take a dip into our Top 10 Awesome Water Cities.",
"7360708jk8825_0_1.jpg","08/20/2014","08/20/2014","Jesse Knish","San Marcos River","The clean and clear San Marcos River provides a relaxing spot to cool off during the summer months.","San Marcos"
"151SUB001_0.jpg","08/20/2014","08/20/2014","Photo Courtesy of David Hamill","Boat at the Beach in Charleston, SC","Charleston Beach",
"151SUB004_0.jpg","08/20/2014","08/20/2014","Photo Courtesy of Adrian Lanning","Beach at Kailua",,
"6000507AJB_5747_2.jpg","08/20/2014","08/20/2014","Antony Boshier","Kayaking the Indian River in Titusville, FL","Night Kayaking group led by Mike Mahan on the Indian River","Titusville"
"151SUB003_0.jpg","08/20/2014","08/20/2014","Photo Coutesy of josquin2000","Island of the Coast of Oak Harbor, WA","Photo Coutesy of josquin2000","Oak Harbor"
"151SUB002_0.jpg","08/20/2014","08/20/2014","Photo Courtesy of Mike Timberlake","Pier on the coast of Old Orchard Beach, ME","Photo Courtesy of Mike Timberlake","Old Orchard Beach"
"151HOL0708kmy5172_0.jpg","08/20/2014","08/20/2014","Kevin Young","Boat on Lake Macatawa in Holland, MI","A boat sails on Lake Macatawa in Holland.","Holland"
"3450610THB0767_1.jpg","08/20/2014","08/20/2014","Todd Bennett",,"One of the features along the Tar River Trail in Rocky Mount","Rocky Mount"
"1250708IC0095_1.jpg","08/23/2017","08/20/2014","Ian Curcio","Beer",,
"151BEN0708JWA7521_0_1.jpg","08/20/2014","08/20/2014","Jeff Adkins",,,
"7120507WA2001.jpg","08/20/2014","08/20/2014","Wes Aldridge",,"Elsinore Theatre in downtown Salem, OR was designed by George Guthrie in 1926 to look like the castle in Hamlet.","Salem"
"7520609AJB1068_3.jpg","08/20/2014","08/20/2014","Antony Boshier","Citizens Medical Center in Victoria, TX","Citizens Medical Center offers the citizens of Victoria, TX a state-of-the-art fitness and rehabilitation facility, and three family medicine clinics.","Victoria"
"7520908jkk6130_2.jpg","08/20/2014","08/20/2014","J. Kyle Keener","Historic homes in Victoria, TX","The McNamara House in Victoria, TX was built in 1876 and is operated as a museum by the Victoria Regional Museum Association.","Victoria"
"60006084421_0_1.jpg","08/20/2014","08/20/2014","Brian McCord","Farmers Market","Gainesville is home to not one but four farmers' markets.","Ocala"
"3470907jwa9566_9.jpg","08/20/2014","08/20/2014","Jeff Adkins",,"The Piedmont Triad Farmers Market in Greensboro, NC is one of the five farmers markets owned by the State of North Carolina.","Greensboro"
"1060107AJB0024_1.jpg","08/20/2014","08/20/2014","Antony Boshier","Danville is a Top 10 Pet City","Danville, KY has many pet activities including dog parks and animal adoption agencies.",
"151SUB_2.jpg","08/20/2014","08/20/2014","Photo: Sandi Pensinger","Dog at Woofstock West in Santa Cruz, CA","A dog enjoys Woofstock West in Santa Cruz, California.","Santa Cruz"
"6470408thb5414_1.jpg","08/20/2014","08/20/2014","Todd Bennett","Riverside Hospital",,"Kankakee"
"151MIS0808kmy0948_0_0.jpg","08/20/2014","08/20/2014","Kevin Young","Washington Grizzly Stadium in Missoula, MT","The University of Montana boasts nearly 14,000 students and even has its own zip code.",
