"name","post_modified","post_date","byline","alt_text","description","place_name"
"84201SUB157.jpg","09/27/2017","09/27/2017","Courtesy of University of Arkansas-Fort Smith","Fort Smith, AR","University of Arkansas-Fort Smith graduates during commencement.","Fort Smith"
"84201SUB088.jpg","09/27/2017","09/27/2017","Courtesy of Sparks Medical System","Fort Smith, AR","Sparks Health System's medical imaging in Fort Smith, AR.","Fort Smith"
"84201SUB181.jpg","09/27/2017","09/27/2017","Courtesy of Tankersley Food Service","Fort Smith, AR","Tankersley Food Service in Fort Smith, AR.","Fort Smith"
"84201SUB073.jpg","09/27/2017","09/27/2017","Courtesy of Pernod Ricard USA","Fort Smith, AR","Hiram Walker Range is manufactured in Western Arkansas.","Fort Smith"
"8420717JWA6543.jpg","09/27/2017","09/27/2017","Jeff Adkins","Fort Smith, AR","Interstate 49 runs through Chaffee Crossing in Fort Smith, AR.","Fort Smith"
"8420717JWA6691.jpg","09/27/2017","09/27/2017","Jeff Adkins","Fort Smith, AR","A mural by English mural aritst D*Face lights up at dusk at West End Park which was painted during the second edition (2016) of The Unexpected project in downtown Fort Smith, AR.","Fort Smith"
"84201SUB090.jpg","09/27/2017","09/27/2017","Courtesy of Arkansas Department of Parks and Tourism","Fort Smith, AR","Outdoor recreation in Western Arkansas.","Fort Smith"
"84201SUB025.jpg","09/27/2017","09/27/2017","Courtesy of Clayton Taylor","Fort Smith, AR","Riverfront Blues Fest in Western Arkansas.","Fort Smith"
"81104SUB073.jpg","09/27/2017","09/27/2017","Courtesy of National Cybersecurity Center","Rockville, MD","&nbsp;
National Cybersecurity Center in Montgomery County, MD.","Rockville"
"81104SUB086.jpg","09/27/2017","09/27/2017","Courtesy of Bernstein Companies","Rockville, MD","Renderings of Marriotts new headquarters in Bethesda, MD.","Rockville"
"81101SUB080.jpg","09/27/2017","09/27/2017","Courtesy of Pete Vidal","Rockville, MD","Montgomery College in Montgomery County, MD.","Rockville"
"81101SUB006.jpg","09/27/2017","09/27/2017","Courtesy of Frank D. Warner","Rockville, MD","Glen Echo Park activities in Montgomery County, MD.","Rockville"
"3010717DKFRE0099.jpg","09/27/2017","09/27/2017","Doug Kapustin","Rockville, MD","Youth soccer camps occupy many of the 24 fields at the Maryland SoccerPlex in Montgomery County at any given time.&nbsp;","Rockville"
"3010717DKFRE0120.jpg","09/27/2017","09/27/2017","Doug Kapustin","Rockville, MD","Heather Roymans and Justin Kanner enjoy beer in the bar at Denizens Brewing Co. in Silver Spring, MD.","Rockville"
"8110118FO5112.jpg","09/27/2017","09/27/2017","Frank Ordoñez","Rockville, MD","Baltimore/Washington International Thurgood Marshall Airport","Rockville"
"81104SUB018.jpg","09/27/2017","09/27/2017","Courtesy of National Institutes of Health","Rockville, MD","Two scientists observe ocular tissue samples under a laser scanning microscope in Bethesda, MD.","Rockville"
"81104SUB071.jpg","09/27/2017","09/27/2017","Courtesy of Andy-Cleavenger","Rockville, MD","National Cybersecurity Center in Montgomery County, MD.","Rockville"
"8110215SUB005.jpg","09/27/2017","09/27/2017","Courtesy of Alan Karchmer","Rockville, MD","Holy Cross Hospital Germantown serves Montgomery County, MD.","Rockville"
"33055729572_25b5f27264_k.jpg","09/28/2017","09/28/2017","Courtesy of Brent Eckley under a  CC 4.0  license.",,,
"Rowlett great place.jpg","09/28/2017","09/28/2017","Courtesy of Fitz Crittle Photography under a  CC 4.0  license.",,,
"Memphis.jpg","09/28/2017","09/28/2017","Tennessee Department of Tourist Development","Stax Museum in Memphis, TN","The Stax Museum in Memphis, Tennessee is a must-visit for music lovers.","Memphis"
"Rowlett move.jpg","09/29/2017","09/29/2017","Courtesy of Robert Hensley under a  CC 4.0  license.",,,
"Safest Cities in the South.jpg","09/29/2017","09/29/2017","Antony Boshier","A picturesque porch with an American flag blowing in the wind","We combined our quality of life rankings with Safewise.com's safety rankings to come up with a list of the 10 safest Southern cities that are also great places to live, work, and play.",
"Pittsburgh.jpg","10/02/2017","10/02/2017","Matthew Paulson via CC BY-NC-ND 2.0","Skyline of Pittsburgh, PA","Pittsburgh has become a hotspot for millennials looking for tech jobs, affordability, and great quality of life — here's why so many smart young people are making Pittsburgh home.","Pittsburgh"
"Pittsburgh Yoga in the Park.jpg","10/02/2017","10/02/2017",,,,
"Fairfax Corner.jpg","10/02/2017","10/02/2017","Courtesy of Carlos Lacruz under a  CC 2.0  license.","Fairfax Corner in Fairfax, VA",,"Fairfax"
"St. Louis.jpg","10/03/2017","10/03/2017","Courtesy of Sean Davis under a  CC 2.0  license.","St. Louis, MO",,"St. Louis"
"Moving to North Carolina.jpg","10/03/2017","10/03/2017","Brian McCord","People dancing to street performers in Asheville, North Carolina","Moving to North Carolina? Here's a rundown of everything you need to know about living, working, and having fun in the Tar Heel State.","North Carolina"
"1050112JWA8403.jpg","10/04/2017","10/04/2017","Staff Photo",,,"Nashville"
"Martha Stewart Home.jpg","10/04/2017","10/04/2017","Realtor.com","Martha Stewart Home in Cary, NC","If you can't get enough of Martha Stewart's aesthetic in your home, there's a whole community of Martha Stewart-designed homes in Cary, NC you can live IN.&nbsp;","Cary"
"Martha Stewart Twin Lakes Kitchen.jpg","10/04/2017","10/04/2017",,,,
"Cary NC.jpg","10/04/2017","10/04/2017",,,,
"Hot Springs things.jpg","10/05/2017","10/05/2017","Courtesy of Amanda Galiano under a  CC 4.0  license.",,,
"Franklin.jpg","10/05/2017","10/05/2017",,,,
"Hot Springs-great.jpg","10/05/2017","10/05/2017","Courtesy of",,,
"8370617JWA7350.jpg","10/05/2017","10/05/2017","Staff Photo",,"A colorful new mural is being painted along Walnut Street in downtown Muncie, Indiana.","Muncie"
"Waterloo things.jpg","10/05/2017","10/05/2017","Courtesy of David Wilson under a  CC 4.0  license.",,,
"iStock534079069.jpg","10/05/2017","10/05/2017","Courtesy of Kira Volkov","Minnesota Recreation","Ice skating rink on a frozen lake between office buildings in Minnesota.","Minnesota"
"82903SUB253.jpg","10/05/2017","10/05/2017","Courtesy of University of St. Thomas","Minnesota Education","Students learning in the&nbsp;Schulze School of Entrepreneurship at St. Thomas University in Minnesota.","Minnesota"
"8290717SWFRE0153.jpg","10/05/2017","10/05/2017","Steve Woit","Minnesota Business","&nbsp;
University&nbsp;of Minnesota's Biomedical Discovery District bike loop.","Minnesota"
