"name","post_modified","post_date","byline","alt_text","description","place_name"
"Carrboro3.jpg","09/24/2015","09/24/2015","https://www.flickr.com/photos/deeproot/","UNC-Chapel Hill campus photo where many Carrboro residents go to school and work",,
"Satta LinkedIn Photo.jpg","09/24/2015","09/24/2015",,"Satta Sarmah Hightower",,
"iStock_000007066283_Medium-crop.jpg","09/24/2015","09/24/2015","iStock.com/Jason Lugo","Large buck  silhouette  at dusk","Deer silhouette at dusk.",
"Mount_Rainier_overlooking_the_Port_of_Tacoma-crop.jpg","09/24/2015","09/24/2015",,"View of Mount Rainier from Port of Tacoma.","Port of Tacoma, WA lies just below Mt. Rainier.
Courtesy of Wikimedia","Tacoma"
"iStock_000047860748_Large-crop.jpg","09/24/2015","09/24/2015","iStock.com/tonda","Colorful Arizona desert, with cactus.",,"Arizona"
"SanMateoskyline.jpg","09/24/2015","09/24/2015","Courtesy of Courtesy of Marc Smith under a  CC 4.0  license.","San Mateo Bridge across the San Francisco Bay.","The San Mateo Bridge crosses San Francisco Bay as seen from Belmont Heights.","San Mateo"
"grandforkskids.jpg","09/24/2015","09/24/2015","Courtesy of Convention and Visitors Bureau in Grand Forks","Children play at a splash park in Grand Forks. A little boy laughs as he runs through a water sprinkler.",,"Grand Forks"
"Grandforksguitar.jpg","09/24/2015","09/24/2015","Courtesy of Convention and Visitors Bureau in Grand Forks","Musicians perform on a sidewalk in Grand Forks as people walk by and sit in chairs.",,"Grand Forks"
"Ames4.jpg","09/25/2015","09/25/2015","Asten via Creative Commons license","a sign depicting Iowa State Universityh",,"Ames"
"Ames1.jpg","09/25/2015","09/25/2015",,"tower shot of Iowa State University campus",,"Ames"
"Athens4.jpg","09/25/2015","09/25/2015",,"logo of University of Georgia",,"Athens"
"Athens2.jpg","09/25/2015","09/25/2015",,"a building on University of Georgia campus",,"Athens"
"BocaRatonflossysfountain-crop.jpg","09/25/2015","09/25/2015",,"A golden statue reaches for the stars on top of the Flossys Fountain in Boca Raton, FL",,"Boca Raton"
"Downtownbocashopping-crop.jpg","09/25/2015","09/25/2015",,"Women wearing pink tops and black shorts carry shopping bags on a brick sidewalk in downtown Boca Raton.","Downtown Boca Raton is filed with restaurants and shops.","Boca Raton"
"151COLSUB041_0crop.jpg","09/26/2015","09/26/2015",,,,
"Bellevue_WA_Downtown_Scenic.jpg","08/11/2016","08/11/2016","Courtesy of VisitBellevueWashington.com","Bellevue WA Downtown Scenic",,"Bellevue"
"iowacity.jpg","09/27/2017","09/28/2015","Courtesy of Alan Light under a  CC 2.0  license.",,,"Iowa City"
"siouxfallsbanner.jpg","09/28/2015","09/28/2015","Courtesy of visitsiouxfalls.com",,"Falls Park","Sioux Falls"
"walnutcreekbanner.JPG","09/28/2015","09/28/2015","Courtesy of Walnut Creek Downtown Business Association",,,"Walnut Creek"
"sanmateobanner.jpg","09/28/2015","09/28/2015","Courtesy of Jim Mitchell under a  CC 4.0  license.",,"People on a beach in San Mateo, CA","San Mateo"
"69510SUB002_1050.jpg","09/29/2015","09/29/2015","Mandy Lundy",,"The Swon Brothers perform in downtown Muskogee, OK.","Muskogee"
"6590613MJC1093_1050.jpg","09/29/2015","09/29/2015","Michael Conti","A man walks past a glass case containing exhibits in the Three Rivers Museum.","Guests examine memories of Muskogee's past at the Midland Valley Station and Three Rivers Museum in Muskogee, OK.","Muskogee"
"6950712MJC2197_1050.jpg","09/29/2015","09/29/2015","Michael Conti","Connors State Nursing students Aubrey Richardson and Linsey Hewitt work on training dummies at NSU and Connors State College's joint campus in Muskogee","Connors State Nursing students Aubrey Richardson and Linsey Hewitt work on training dummies at NSU and Connors State College's joint campus in Muskogee, Oklahoma. Connors State offers two-year degrees to students looking to join the growing healthcare field.","Muskogee"
"6950712MJC1610_1050.jpg","09/29/2015","09/29/2015","Michael Conti",,"The historic Roxy Theater is part-subsidized by the city of Muskogee, as it begins to draw upon residents for film festivals and live performances in Muskogee, Oklahoma.","Muskogee"
