"name","post_modified","post_date","byline","alt_text","description","place_name"
"7820810JWA5798.jpg","07/27/2017","08/20/2014","Jeff Adkins","San Jose, CA","Left Bank Brasserie features a farm-to-table menu in San Jose, CA.","San Jose"
"6920705SCC2920_1.jpg","08/20/2014","08/20/2014","Stephen Cherry","Northrup Park Complex","The 103-acre Northrup Park offers a variety of amenities including baseball and softball fields, concessions stands and covered basketball courts.","Boerne"
"3190407GLE0025.jpg","08/20/2014","08/20/2014","Greg Emens","Downtown Mt. Sterling","Main street businesses in downtown Mt. Sterling.",
"6920707BM1546_0.jpg","08/20/2014","08/20/2014",,,,"Boerne"
"7341208THB2928_0.jpg","08/20/2014","08/20/2014","Todd Bennett","The Riverwalk","The Riverwalk","San Antonio"
"6920707BM1661_1.jpg","07/30/2017","08/20/2014","Brian McCord",,,"Boerne"
"6920706GLE0010_1.jpg","08/20/2014","08/20/2014",,,,"Boerne"
"6020408JWA5407_1.jpg","08/20/2014","08/20/2014","Jeff Adkins","Barnes Crossing Mall in Tupelo, MS","The Barnes Crossing Mall in Tupelo, Mississippi is one of many places to shop in the area.","Tupelo"
"6540510ABD0109_0.jpg","08/20/2014","08/20/2014","Antony Boshier","The Hill Center in Nashville, TN","The Hill Center Green Hills is a vibrant addition to the Nashville's shopping scene, offering local boutiques, restaurants and nationally recognized retailers.",
"69205SUB0764_1.jpg","08/20/2014","08/20/2014","Submitted","Morningside Ministries",,"Boerne"
"7081109AJB2451_0.jpg","08/20/2014","08/20/2014","Antony Boshier","Ye Olde City Antique Mall Flea Market in Tyler, TX","A large variety of treasures await visitors to Ye Olde City Antique Mall Flea Market in downtown, Tyler TX.  Ye Olde City Antique Mall Flea Market is one of many antique stores located in Tyler.","Tyler"
"151BLO0708kmy4395_0_1.jpg","08/20/2014","08/20/2014","Kevin Young","Bloomington Hospital","Bloomington Hospital has been a community foundation for more than 100 years, serving people in 10 counties.","Bloomington"
"7591108BM5268_2.jpg","08/20/2014","08/20/2014","Brian McCord","Vicksburg Factory Outlets","Vicksburg Factory Outlets in Vicksburg, MS offers shoppers a great place to find a bargain.","Vicksburg"
"3571009THB0376_0.jpg","08/20/2014","08/20/2014","Todd Bennett","Becker Village Mall in Roanoke Rapids, NC","JCPenney is one of the anchor tenants at Becker Village Mall in Roanoke Rapids, NC.","Roanoke Rapids"
"7450808JWA1030_0.jpg","08/20/2014","08/20/2014","Jeff Adkins","The Renaissance","A variety of new stores and restaurants are located in The Renaissance Farragut shopping center on Kingston Pike in Farragut, Tennessee. Farragut has long been known as a great bedroom community, with mostly residential development, however as more rooftops are going up, so too are retail developments aiming to provide these residents with even more convenience to shopping.
JCI PHOTO- Jeff Adkins",
"2070609JWA2013_1.jpg","08/20/2014","08/20/2014","Jeff Adkins",,"Shoppers browse the thousands of items for sale at Artique in Lexington, Kentucky. Artique is full-spectrum fine contemporary American craft gallery with several locations in Lexington, Kentucky. Artist Jnana Rieger is from Nicholasville, Kentucky.",
"6251008IC0023.jpg","08/20/2014","08/20/2014","Ian Curcio","Quality of Life","Retirement Quality of Life in Mooresville. Images of Mooresville - JCI Photo - IAN CURCIO","Mooresville"
"6570911BM3948_0.jpg","08/20/2014","08/20/2014","Brian McCord","New England Village in Prattville, AL","Carol Brooks Home and Holiday Shoppe in downtown Prattville, AL is a great place to find a gift.","Prattville"
"7360708jk0137_0.jpg","08/20/2014","08/20/2014","Jesse Knish","shopping","Jeans are just part of the selection Calli's Boutique in San Marcos.","Martinsville"
"151WAL0508IC0106_0.jpg","08/20/2014","08/20/2014","Ian Curcio","The Gardens at Heather Farm","The Cowden Rose Garden at the Gardens at Heather Farm","Walnut Creek"
"6870505BM5878_0.jpg","06/25/2017","08/20/2014","Brian McCord",,,"San Angelo"
"71208SUB1816_3.jpg","08/20/2014","08/20/2014","Submitted",,"The Salem-Keizer Volcanos in Salem, OR is a Single A Short Season Team - a farm team that is part of the San Francisco Giants franchise that is a two-time defending champion in its league.","Salem"
